jdn_id,jdn_jtp_id,jdn_symbol,jdn_nazwa,jdn_aktywny,jdn_urz_id_wpro,jdn_data_wpro,jdn_urz_id_mod,jdn_data_mod,jdn_jdn_id,jdn_ulica,jdn_nr_bud,jdn_kod_pocztowy,jdn_regon,jdn_nazwa_pelna,jdn_jro_id,jdn_nip,jdn_nip_vat,jdn_nr_sap,jdn_nr_jpk
223,2,SP314/BIA,Szkoła Podstawowa nr 314 im. Przyjaciół Ziemi,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa nr 314 im. Przyjaciół Ziemi,NULL,NULL,NULL,NULL,1061
224,2,SP342/BIA,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 342 im. Jana Marcina Szancera,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 342 im. Jana Marcina Szancera,NULL,NULL,NULL,NULL,1062
225,2,SP344/BIA,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 344 im. Powstania Warszawskiego,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 344 im. Powstania Warszawskiego,NULL,NULL,NULL,NULL,1063
226,2,ZS106/BIA,Zespół Szkół nr 106,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Zespół Szkół nr 106,NULL,NULL,NULL,NULL,1066
227,2,ZS43/BIA,Zespół Szkół nr 43,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Zespół Szkół nr 43,NULL,NULL,NULL,NULL,1067
228,2,BCEK/BIE,Bielańskie Centrum Edukacji Kulturalnej ,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Bielańskie Centrum Edukacji Kulturalnej ,NULL,NULL,NULL,NULL,1074
229,2,GI72/BIE,Gimnazjum Nr 72 im. A.B. Dobrowolskiego,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Gimnazjum Nr 72 im. A.B. Dobrowolskiego,NULL,NULL,NULL,NULL,1076
230,2,GI73/BIE,Gimnazjum Nr 73 im. J.H. Wagnera,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Gimnazjum Nr 73 im. J.H. Wagnera,NULL,NULL,NULL,NULL,1077
231,2,MDK/BIE,Młodzieżowy Dom Kultury,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Młodzieżowy Dom Kultury,NULL,NULL,NULL,NULL,1079
232,2,MDKMG/BIE,Młodzieżowy Dom kultury im. Marii Gwizdak,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Młodzieżowy Dom kultury im. Marii Gwizdak,NULL,NULL,NULL,NULL,1080
233,2,PPP10/BIE,Poradnia Psychologiczno Pedagogiczna Nr 10,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Poradnia Psychologiczno Pedagogiczna Nr 10,NULL,NULL,NULL,NULL,1081
234,2,PS105/BIE,Przedszkole Nr 105 „Wesoła Stopiątka”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 105 „Wesoła Stopiątka”,NULL,NULL,NULL,NULL,1082
235,2,PS181/BIE,Przedszkole Nr 181 „Wesołe Nutki”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 181 „Wesołe Nutki”,NULL,NULL,NULL,NULL,1083
236,2,PS182/BIE,Przedszkole Nr 182 „ Tajemniczy Ogród”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 182 „ Tajemniczy Ogród”,NULL,NULL,NULL,NULL,1084
237,2,PS236/BIE,Przedszkole Nr 236 „Mali Odkrywcy”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 236 „Mali Odkrywcy”,NULL,NULL,NULL,NULL,1085
238,2,PS240/BIE,Przedszkole Nr 240 im. Polskich Olimpijczyków,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 240 im. Polskich Olimpijczyków,NULL,NULL,NULL,NULL,1086
239,2,PS268/BIE,Przedszkole Nr 268 „Słoneczny Promyk”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 268 „Słoneczny Promyk”,NULL,NULL,NULL,NULL,1087
240,2,PS271/BIE,Przedszkole Nr 271 „Wróbelka Elemelka”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 271 „Wróbelka Elemelka”,NULL,NULL,NULL,NULL,1088
241,2,PS272/BIE,Przedszkole Nr 272 „ Misia Uszatka”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 272 „ Misia Uszatka”,NULL,NULL,NULL,NULL,1089
242,2,PS287/BIE,Przedszkole Nr 287 „Piotrusia Pana”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 287 „Piotrusia Pana”,NULL,NULL,NULL,NULL,1090
243,2,PS301/BIE,Przedszkole Nr 301 „Zaczarowany Świat”,1,1,2014-03-27 12:00,NULL,NULL,39,,,,,Przedszkole Nr 301 „Zaczarowany Świat”,NULL,NULL,NULL,NULL,1091
